Log-file: website.log
Add new 36 folders
2019-05-10 12:47:51 -> RESULTS/au.ff.avast.sec.miui.com/android//V1/REG
2019-05-10 12:47:51 -> RESULTS/globalapi.ad.xiaomi.com/filter/text
2019-05-10 12:47:51 -> RESULTS/data.mistat.intl.xiaomi.com/mistats/v2
2019-05-10 12:47:51 -> RESULTS/resolver.msg.global.xiaomi.net/gslb/
2019-05-10 12:47:51 -> RESULTS/connect.rom.miui.com/generate_204
2019-05-10 12:47:51 -> RESULTS/connectivitycheck.gstatic.com/generate_204
2019-05-10 12:47:51 -> RESULTS/10.42.0.1/
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/client_langset/10000033/values-ru/strings.xml
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/display/2019/0430/0727/uploadFile_20190430072704291_1440.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/display/2019/0426/0147/uploadFile_20190426014740520_1440.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/display/2019/0426/0146/uploadFile_20190426014655850_1440.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/display/2019/0426/0142/uploadFile_20190426014222854_1440.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/display/2019/0430/0135/uploadFile_20190430013543438_1440.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000002886134/IconImage_20190419015712245_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000004130306/IconImage_20190423102147424_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000003714036/IconImage_20190426160215619_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000004131868/IconImage_20190419040042169_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000004001833/IconImage_20190418022438519_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/display/2019/0430/0141/uploadFile_20190430014145777_768.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000004130996/IconImage_20190418064211077_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000004130521/IconImage_20190419033818166_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000003158950/IconImage_20190328072813884_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/display/2019/0430/0719/uploadFile_20190430071950108_1440.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/display/2019/0430/0717/uploadFile_20190430071739267_1440.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/display/2019/0426/0152/uploadFile_20190426015240057_1440.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/display/2019/0426/0152/uploadFile_20190426015200991_1440.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/display/2019/0430/0722/uploadFile_20190430072215875_1440.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000003264941/IconImage_20181019062835466_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/display/2019/0430/0722/uploadFile_20190430072242968_1440.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000003353808/IconImage_20181121060245473_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000003214395/IconImage_20181022063524616_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000003066069/IconImage_20190418121341383_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000000919918/IconImage_20190410034959018_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000002934803/IconImage_20190426034253476_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000000821347/IconImage_20170408143247475_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000000546244/IconImage_20190418121925095_NEW_WEB_ICON_135_135.webp

Log-file: log.log
Add new 10 folders
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000000948638/IconImage_20190418101409530_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000002957600/IconImage_20190220072351153_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/img.samsungapps.com/productNew/000002891801/IconImage_20190423030420681_NEW_WEB_ICON_135_135.webp
2019-05-10 12:47:51 -> RESULTS/samsappsbn.vo.llnwd.net/astore_bin/hwzg74oyv9/2019/0422/prePost_20190422081119878.apk
2019-05-10 12:47:51 -> RESULTS/1.ssiloc.com/p1/2B3
2019-05-10 12:47:51 -> RESULTS/update.sonyericsson.com/signedManifest.jsp
2019-05-10 12:47:51 -> RESULTS/clients3.google.com/generate_204
2019-05-10 12:47:51 -> RESULTS/googleads.g.doubleclick.net/pagead/viewthroughconversion/1001680686/
2019-05-10 12:47:51 -> RESULTS/www.gstatic.com/android/tts/metadata_r1
2019-05-10 12:47:51 -> RESULTS/update.extranet.sonyericsson.com/ueptracking

